date,chg_amt_l,chg_amt_r,chg_amt_l,chg_amt_r,chg_amt_l,chg_amt_r,chg_amt_l,chg_amt_r,chg_amt_l,chg_amt_r
2007-01-04,0.8776661980317327,0.11772155926809873,-0.005850456621004788,0.0635738156084138,0.009275521405049324,0.0828065981353097,0.0016333427203604632,0.4929223330311272,-0.5256797265316858,-0.0671282713296562
2007-01-05,-0.07972577696526426,-0.009267410310521527,0.06493035680213713,0.005262860373091932,-0.03825613079019077,-0.06691474966170496,-0.08524613220815755,-1.3401399416909632,-2.154847749932632,-0.12405268856008689
2007-01-08,0.22492160118059323,-0.03273883421650275,0.20511374144627348,0.03284453623732651,0.026277372262773747,0.017662953306470525,0.012133891213389132,0.026183230819036285,0.36400837571044004,0.13684177374653583
2007-01-09,0.8919215545160136,0.13496540058434559,0.03894586415601867,0.022137741046831916,0.09408365437534395,0.04618300959513244,0.06102548903378774,0.2656801292407106,0.9397793468667242,0.0739229569182768
2007-01-10,-0.15136549468520047,0.01563105392511209,-0.010146840455370485,0.04840600687533911,0.04803695150115493,-0.022500000000000017,0.01031001137656424,-0.20929024081115305,-0.33704173716863906,0.05206263877527141
2007-01-11,-0.5345034104142403,-0.04867967853042484,-0.018015254518321984,-0.03862322648449803,-0.022519178421182964,-0.025414364640883997,-0.05855690482914422,-0.4468747988413269,-0.6909281008307088,-0.08389723592155064
2007-01-12,-0.6521415929203549,-0.10400705052878956,-0.14677149548343926,-0.09466810577442,-0.03470158650214048,-0.07832082551594746,-0.01024131842260154,-0.5474567243675095,-0.7071893491124253,-0.05758310658937641
2007-01-15,0.2872612681436219,0.07597157862218111,0.12780180180180184,0.09920592193808883,0.07769728331177227,0.06450522128294371,0.0,0.7390145732130462,0.976853211009173,0.14022474625422932
2007-01-16,-0.1350231267345048,-0.015806740232627722,-0.023643147896879105,0.011649855907781108,-0.009204101562499975,0.0,0.08208358032009477,-0.13302631578947477,-0.19714076675446107,0.0641814210163254
2007-01-17,-0.3109900432087183,0.03917668269230777,-0.039747769389155946,-0.037827019299499685,-0.046029014015244694,-0.01770071258907372,0.015455820476858449,-0.16570099667774052,-0.3144624926166564,-0.10133692843500712
